Game ,10800000, mean_rew of 2627 finished g. ,-0.97792, of random ,-8.1038, corr_moves[max:17] ,12.85, mean_rew ,-48.0,   0:43:49.048378,playing t=10.01, lr=[0.01], batch=159120
Game ,10960000, mean_rew of 2586 finished g. ,-0.89134, of random ,-8.1353, corr_moves[max:17] ,12.77, mean_rew ,-48.7,   0:44:28.194751,playing t=10.01, lr=[0.01], batch=159120
Game ,11120000, mean_rew of 2633 finished g. ,-0.94265, of random ,-8.0733, corr_moves[max:17] ,12.88, mean_rew ,-47.8,   0:45:07.181017,playing t=10.02, lr=[0.01], batch=159120
Game ,11280000, mean_rew of 2609 finished g. ,-0.78459, of random ,-8.2194, corr_moves[max:17] ,12.86, mean_rew ,-48.2,   0:45:46.164048,playing t=9.87, lr=[0.01], batch=159120
Game ,11440000, mean_rew of 2657 finished g. ,-0.84343, of random ,-8.0767, corr_moves[max:17] ,12.92, mean_rew ,-47.3,   0:46:25.433795,playing t=10.03, lr=[0.01], batch=159120
Game ,11600000, mean_rew of 2612 finished g. ,-0.92496, of random ,-8.084, corr_moves[max:17] ,12.81, mean_rew ,-48.2,   0:47:04.945734,playing t=10.04, lr=[0.01], batch=159120
Game ,11760000, mean_rew of 2632 finished g. ,-0.82561, of random ,-8.1887, corr_moves[max:17] ,12.86, mean_rew ,-47.8,   0:47:44.071152,playing t=10.05, lr=[0.01], batch=159120
Game ,11920000, mean_rew of 2571 finished g. ,-0.87087, of random ,-8.2135, corr_moves[max:17] ,12.78, mean_rew ,-49.0,   0:48:23.517845,playing t=10.13, lr=[0.01], batch=159120
Game ,12080000, mean_rew of 2484 finished g. ,-0.92311, of random ,-8.1343, corr_moves[max:17] ,12.65, mean_rew ,-50.8,   0:49:02.817564,playing t=10.01, lr=[0.01], batch=159120
Game ,12240000, mean_rew of 2650 finished g. ,-0.9366, of random ,-8.0613, corr_moves[max:17] ,12.95, mean_rew ,-47.5,   0:49:41.636077,playing t=9.95, lr=[0.01], batch=159120
Game ,12400000, mean_rew of 2603 finished g. ,-0.94391, of random ,-8.1695, corr_moves[max:17] ,12.86, mean_rew ,-48.4,   0:50:20.977051,playing t=10.04, lr=[0.01], batch=159120
Game ,12560000, mean_rew of 2551 finished g. ,-0.85221, of random ,-8.1103, corr_moves[max:17] ,12.82, mean_rew ,-49.4,   0:51:00.132029,playing t=10.02, lr=[0.01], batch=159120
Game ,12720000, mean_rew of 2580 finished g. ,-0.96589, of random ,-8.1417, corr_moves[max:17] ,12.72, mean_rew ,-48.9,   0:51:39.220913,playing t=9.94, lr=[0.01], batch=159120
Game ,12880000, mean_rew of 2590 finished g. ,-0.87413, of random ,-8.1561, corr_moves[max:17] ,12.87, mean_rew ,-48.7,   0:52:17.848925,playing t=9.91, lr=[0.01], batch=159120
Game ,13040000, mean_rew of 2606 finished g. ,-0.82041, of random ,-8.1514, corr_moves[max:17] ,12.9, mean_rew ,-48.3,   0:52:56.941217,playing t=9.88, lr=[0.01], batch=159120
Game ,13200000, mean_rew of 2670 finished g. ,-0.91873, of random ,-8.1077, corr_moves[max:17] ,13.05, mean_rew ,-47.1,   0:53:35.849058,playing t=9.99, lr=[0.01], batch=159120
Game ,13360000, mean_rew of 2656 finished g. ,-0.79857, of random ,-8.2328, corr_moves[max:17] ,12.85, mean_rew ,-47.3,   0:54:14.732896,playing t=10.0, lr=[0.01], batch=159120
Game ,13520000, mean_rew of 2597 finished g. ,-0.732, of random ,-8.1928, corr_moves[max:17] ,12.9, mean_rew ,-48.4,   0:54:53.811440,playing t=10.02, lr=[0.01], batch=159120
Game ,13680000, mean_rew of 2588 finished g. ,-0.73532, of random ,-8.2294, corr_moves[max:17] ,12.76, mean_rew ,-48.6,   0:55:32.827843,playing t=9.89, lr=[0.01], batch=159120
Game ,13840000, mean_rew of 2630 finished g. ,-0.86236, of random ,-8.1156, corr_moves[max:17] ,12.88, mean_rew ,-47.9,   0:56:12.143247,playing t=10.03, lr=[0.01], batch=159120
Game ,14000000, mean_rew of 2533 finished g. ,-0.91986, of random ,-8.0987, corr_moves[max:17] ,12.75, mean_rew ,-49.8,   0:56:51.229697,playing t=10.0, lr=[0.01], batch=159120
Game ,14160000, mean_rew of 2598 finished g. ,-0.88222, of random ,-8.1352, corr_moves[max:17] ,12.84, mean_rew ,-48.5,   0:57:30.338396,playing t=10.11, lr=[0.01], batch=159120
Game ,14320000, mean_rew of 2503 finished g. ,-0.79145, of random ,-8.1056, corr_moves[max:17] ,12.67, mean_rew ,-50.3,   0:58:09.068998,playing t=10.01, lr=[0.01], batch=159120
Game ,14480000, mean_rew of 2539 finished g. ,-0.72115, of random ,-8.2255, corr_moves[max:17] ,12.73, mean_rew ,-49.6,   0:58:47.981040,playing t=10.05, lr=[0.01], batch=159120
Game ,14640000, mean_rew of 2576 finished g. ,-0.86918, of random ,-8.0025, corr_moves[max:17] ,12.78, mean_rew ,-48.9,   0:59:27.259900,playing t=9.98, lr=[0.01], batch=159120
