Game ,0140000, reward ,-1.0, corr ,5.457, games_won ,[77.  0.  0.  0.], total ,-101.3,  Time ,0:05:53.478580,
Game ,0142000, reward ,-1.0, corr ,5.426, games_won ,[102.   0.   0.   0.], total ,-101.3,  Time ,0:06:01.066432,
Game ,0144000, reward ,-1.0, corr ,5.556, games_won ,[99.  0.  0.  0.], total ,-102.45,  Time ,0:06:08.929112,
Game ,0146000, reward ,-1.0, corr ,5.593, games_won ,[89.  0.  0.  0.], total ,-102.1,  Time ,0:06:16.618091,
Game ,0148000, reward ,-1.0, corr ,5.918, games_won ,[71.  0.  0.  0.], total ,-101.0,  Time ,0:06:25.102424,
Game ,0150000, reward ,-1.0, corr ,5.934, games_won ,[71.  0.  0.  0.], total ,-101.25,  Time ,0:06:33.432370,
Game ,0152000, reward ,-1.0, corr ,5.689, games_won ,[106.   0.   0.   0.], total ,-102.35,  Time ,0:06:41.490442,
Game ,0154000, reward ,-1.0, corr ,5.875, games_won ,[102.   0.   0.   0.], total ,-101.85,  Time ,0:06:49.801032,
Game ,0156000, reward ,-1.0, corr ,6.035, games_won ,[94.  0.  0.  0.], total ,-101.55,  Time ,0:06:58.329004,
Game ,0158000, reward ,-1.0, corr ,5.905, games_won ,[134.   0.   0.   0.], total ,-102.2,  Time ,0:07:06.738749,
Game ,0160000, reward ,-1.0, corr ,4.984, games_won ,[229.   0.   0.   0.], total ,-107.4,  Time ,0:07:14.211274,
Game ,0162000, reward ,-1.0, corr ,5.069, games_won ,[240.   0.   0.   0.], total ,-106.45,  Time ,0:07:21.491917,
Game ,0164000, reward ,-1.0, corr ,4.944, games_won ,[229.   0.   0.   0.], total ,-108.05,  Time ,0:07:28.672798,
Game ,0166000, reward ,-1.0, corr ,5.157, games_won ,[192.   0.   0.   0.], total ,-106.25,  Time ,0:07:36.213890,
Game ,0168000, reward ,-1.0, corr ,5.391, games_won ,[188.   0.   0.   0.], total ,-105.15,  Time ,0:07:43.909198,
Game ,0170000, reward ,-1.0, corr ,5.249, games_won ,[207.   0.   0.   0.], total ,-106.25,  Time ,0:07:51.381734,
Game ,0172000, reward ,-1.0, corr ,5.474, games_won ,[163.   0.   0.   0.], total ,-105.0,  Time ,0:07:59.392900,
Game ,0174000, reward ,-1.0, corr ,5.711, games_won ,[153.   0.   0.   0.], total ,-105.45,  Time ,0:08:07.584749,
Game ,0176000, reward ,-1.0, corr ,5.345, games_won ,[185.   0.   0.   0.], total ,-105.85,  Time ,0:08:15.276886,
Game ,0178000, reward ,-1.0, corr ,5.641, games_won ,[180.   0.   0.   0.], total ,-104.2,  Time ,0:08:23.231925,
Game ,0180000, reward ,-1.0, corr ,6.163, games_won ,[152.   0.   0.   0.], total ,-103.8,  Time ,0:08:32.012196,
Game ,0182000, reward ,-1.0, corr ,5.854, games_won ,[173.   0.   0.   0.], total ,-104.4,  Time ,0:08:40.330647,
Game ,0184000, reward ,-1.0, corr ,5.689, games_won ,[172.   0.   0.   0.], total ,-104.6,  Time ,0:08:48.382740,
Game ,0186000, reward ,-1.0, corr ,6.676, games_won ,[69.  0.  0.  0.], total ,-101.8,  Time ,0:08:57.777970,
Game ,0188000, reward ,-1.0, corr ,6.88, games_won ,[59.  0.  0.  0.], total ,-102.25,  Time ,0:09:07.430895,
Game ,0190000, reward ,-1.0, corr ,6.873, games_won ,[85.  0.  0.  0.], total ,-101.75,  Time ,0:09:17.046606,
