Game ,0242000, reward per game in 15 g. ,0.0, corr_moves ,2.165,  Time ,0:46:15.656133,
Game ,0244000, reward per game in 22 g. ,-1.0909, corr_moves ,2.228,  Time ,0:46:46.364922,
Game ,0246000, reward per game in 15 g. ,-0.86667, corr_moves ,2.213,  Time ,0:47:17.236317,
Game ,0248000, reward per game in 18 g. ,-3.4444, corr_moves ,2.194,  Time ,0:47:47.425343,
Game ,0250000, reward per game in 17 g. ,-0.35294, corr_moves ,2.221,  Time ,0:48:18.642335,
Game ,0252000, reward per game in 21 g. ,-0.57143, corr_moves ,2.275,  Time ,0:48:50.242976,
Game ,0254000, reward per game in 21 g. ,-0.19048, corr_moves ,2.259,  Time ,0:49:21.276420,
Game ,0256000, reward per game in 28 g. ,-1.7143, corr_moves ,2.213,  Time ,0:49:52.465251,
Game ,0258000, reward per game in 19 g. ,0.21053, corr_moves ,2.19,  Time ,0:50:23.560495,
Game ,0260000, reward per game in 24 g. ,-1.625, corr_moves ,2.239,  Time ,0:50:54.464014,
Game ,0262000, reward per game in 22 g. ,-0.090909, corr_moves ,2.279,  Time ,0:51:25.166894,
Game ,0264000, reward per game in 13 g. ,-0.076923, corr_moves ,2.291,  Time ,0:51:56.818799,
Game ,0266000, reward per game in 26 g. ,-2.1923, corr_moves ,2.321,  Time ,0:52:28.092394,
Game ,0268000, reward per game in 28 g. ,-2.9286, corr_moves ,2.284,  Time ,0:52:59.337805,
Game ,0270000, reward per game in 30 g. ,-0.33333, corr_moves ,2.29,  Time ,0:53:31.020256,
Game ,0272000, reward per game in 21 g. ,-0.7619, corr_moves ,2.299,  Time ,0:54:02.796484,
Game ,0274000, reward per game in 33 g. ,-1.0909, corr_moves ,2.332,  Time ,0:54:34.883268,
Game ,0276000, reward per game in 24 g. ,-1.125, corr_moves ,2.305,  Time ,0:55:06.477725,
Game ,0278000, reward per game in 28 g. ,-1.0714, corr_moves ,2.291,  Time ,0:55:37.536157,
Game ,0280000, reward per game in 24 g. ,-1.625, corr_moves ,2.265,  Time ,0:56:09.170233,
Game ,0282000, reward per game in 29 g. ,-0.75862, corr_moves ,2.257,  Time ,0:56:39.785237,
Game ,0284000, reward per game in 17 g. ,-2.3529, corr_moves ,2.282,  Time ,0:57:11.175203,
Game ,0286000, reward per game in 32 g. ,-1.375, corr_moves ,2.298,  Time ,0:57:42.223810,
Game ,0288000, reward per game in 25 g. ,-1.24, corr_moves ,2.307,  Time ,0:58:13.237893,
Game ,0290000, reward per game in 28 g. ,-1.1429, corr_moves ,2.287,  Time ,0:58:44.486783,
Game ,0292000, reward per game in 36 g. ,-1.9444, corr_moves ,2.338,  Time ,0:59:15.633147,
Game ,0294000, reward per game in 31 g. ,-1.0645, corr_moves ,2.347,  Time ,0:59:47.744072,
Game ,0296000, reward per game in 34 g. ,-1.3824, corr_moves ,2.319,  Time ,1:00:19.775532,
Game ,0298000, reward per game in 33 g. ,-0.84848, corr_moves ,2.334,  Time ,1:00:51.975472,
Game ,0300000, reward per game in 41 g. ,-1.0976, corr_moves ,2.327,  Time ,1:01:23.920674,
Game ,0302000, reward per game in 31 g. ,-0.41935, corr_moves ,2.355,  Time ,1:01:55.294340,
Game ,0304000, reward per game in 33 g. ,-1.5152, corr_moves ,2.36,  Time ,1:02:26.626739,
Game ,0306000, reward per game in 33 g. ,-1.8182, corr_moves ,2.329,  Time ,1:02:58.294776,
Game ,0308000, reward per game in 28 g. ,-2.9286, corr_moves ,2.32,  Time ,1:03:30.431483,
Game ,0310000, reward per game in 43 g. ,-1.4884, corr_moves ,2.293,  Time ,1:04:02.178114,
Game ,0312000, reward per game in 42 g. ,-0.7381, corr_moves ,2.302,  Time ,1:04:33.301488,
Game ,0314000, reward per game in 31 g. ,-0.70968, corr_moves ,2.311,  Time ,1:05:05.296942,
Game ,0316000, reward per game in 28 g. ,-1.6786, corr_moves ,2.38,  Time ,1:05:36.819488,
Game ,0318000, reward per game in 32 g. ,-0.5625, corr_moves ,2.343,  Time ,1:06:09.268881,
Game ,0320000, reward per game in 33 g. ,-0.27273, corr_moves ,2.36,  Time ,1:06:41.520221,
Game ,0322000, reward per game in 26 g. ,-2.9615, corr_moves ,2.321,  Time ,1:07:14.547586,
Game ,0324000, reward per game in 25 g. ,-1.64, corr_moves ,2.337,  Time ,1:07:46.473464,
Game ,0326000, reward per game in 22 g. ,0.090909, corr_moves ,2.367,  Time ,1:08:18.968413,
Game ,0328000, reward per game in 33 g. ,-2.1818, corr_moves ,2.367,  Time ,1:08:51.935563,
Game ,0330000, reward per game in 41 g. ,-0.68293, corr_moves ,2.371,  Time ,1:09:24.523325,
Game ,0332000, reward per game in 39 g. ,-1.0513, corr_moves ,2.373,  Time ,1:09:56.549814,
Game ,0334000, reward per game in 39 g. ,-1.8462, corr_moves ,2.352,  Time ,1:10:29.226497,
Game ,0336000, reward per game in 41 g. ,-2.122, corr_moves ,2.336,  Time ,1:11:01.492511,
Game ,0338000, reward per game in 38 g. ,-0.68421, corr_moves ,2.374,  Time ,1:11:34.833814,
Game ,0340000, reward per game in 37 g. ,-1.1892, corr_moves , 2.4,  Time ,1:12:07.231542,
Game ,0342000, reward per game in 35 g. ,-1.0857, corr_moves ,2.429,  Time ,1:12:40.135930,
Game ,0344000, reward per game in 39 g. ,-2.7179, corr_moves ,2.443,  Time ,1:13:13.193424,
Game ,0346000, reward per game in 40 g. ,-1.425, corr_moves ,2.449,  Time ,1:13:46.331677,
Game ,0348000, reward per game in 43 g. ,-1.4186, corr_moves ,2.415,  Time ,1:14:19.266240,
Game ,0350000, reward per game in 34 g. ,-0.67647, corr_moves ,2.378,  Time ,1:14:52.314506,
Game ,0352000, reward per game in 33 g. ,-2.1515, corr_moves ,2.413,  Time ,1:15:25.783161,
Game ,0354000, reward per game in 32 g. ,-3.3125, corr_moves ,2.432,  Time ,1:15:59.136845,
Game ,0356000, reward per game in 47 g. ,-2.1277, corr_moves ,2.401,  Time ,1:16:32.633542,
Game ,0358000, reward per game in 47 g. ,-1.5319, corr_moves ,2.457,  Time ,1:17:05.859088,
Game ,0360000, reward per game in 41 g. ,-1.6098, corr_moves ,2.456,  Time ,1:17:39.582132,
Game ,0362000, reward per game in 40 g. ,-0.525, corr_moves ,2.411,  Time ,1:18:13.227785,
Game ,0364000, reward per game in 38 g. ,-1.1316, corr_moves ,2.42,  Time ,1:18:46.320011,
Game ,0366000, reward per game in 41 g. ,-1.5122, corr_moves ,2.395,  Time ,1:19:18.581782,
Game ,0368000, reward per game in 34 g. ,-1.5, corr_moves ,2.397,  Time ,1:19:52.128721,
Game ,0370000, reward per game in 31 g. ,-1.3226, corr_moves ,2.467,  Time ,1:20:25.717159,
Game ,0372000, reward per game in 36 g. ,-1.4722, corr_moves ,2.474,  Time ,1:20:58.511686,
Game ,0374000, reward per game in 41 g. ,-1.9756, corr_moves ,2.457,  Time ,1:21:32.128289,
Game ,0376000, reward per game in 33 g. ,-0.39394, corr_moves ,2.443,  Time ,1:22:05.559114,
Game ,0378000, reward per game in 43 g. ,-0.48837, corr_moves ,2.432,  Time ,1:22:38.653603,
Game ,0380000, reward per game in 47 g. ,-1.234, corr_moves ,2.455,  Time ,1:23:12.092714,
Game ,0382000, reward per game in 36 g. ,-3.3056, corr_moves ,2.476,  Time ,1:23:45.690848,
Game ,0384000, reward per game in 50 g. ,-1.14, corr_moves ,2.473,  Time ,1:24:20.065442,
Game ,0386000, reward per game in 41 g. ,-1.5854, corr_moves , 2.5,  Time ,1:24:53.638886,
Game ,0388000, reward per game in 49 g. ,-0.77551, corr_moves ,2.488,  Time ,1:25:27.231985,
Game ,0390000, reward per game in 46 g. ,-2.1304, corr_moves ,2.498,  Time ,1:26:02.207136,
Game ,0392000, reward per game in 36 g. ,-0.72222, corr_moves ,2.464,  Time ,1:26:37.080627,
Game ,0394000, reward per game in 62 g. ,-1.6452, corr_moves ,2.54,  Time ,1:27:11.410256,
Game ,0396000, reward per game in 61 g. ,-2.1967, corr_moves ,2.495,  Time ,1:27:45.335108,
Game ,0398000, reward per game in 61 g. ,-1.1311, corr_moves ,2.496,  Time ,1:28:19.287593,
Game ,0400000, reward per game in 50 g. ,-1.64, corr_moves ,2.49,  Time ,1:28:53.161999,
Game ,0402000, reward per game in 44 g. ,-0.81818, corr_moves ,2.522,  Time ,1:29:27.845519,
Game ,0404000, reward per game in 48 g. ,-1.0208, corr_moves ,2.537,  Time ,1:30:02.609591,
Game ,0406000, reward per game in 48 g. ,-1.2083, corr_moves ,2.508,  Time ,1:30:36.693377,
Game ,0408000, reward per game in 50 g. ,-2.14, corr_moves ,2.528,  Time ,1:31:11.272073,
Game ,0410000, reward per game in 58 g. ,-0.77586, corr_moves ,2.517,  Time ,1:31:46.108013,
