Game ,6197800, mean_rew of 4462 finished g. ,-2.933, of random ,-6.9346, corr_moves[max:17] ,16.06, mean_rew ,-13.4,00:26:59.81,playing t=6.19, lr=[0.01], batch=105584
Game ,6304500, mean_rew of 4516 finished g. ,-3.099, of random ,-6.8672, corr_moves[max:17] ,16.14, mean_rew ,-12.5,00:27:27.34,playing t=6.25, lr=[0.01], batch=106038
Game ,6411600, mean_rew of 4501 finished g. ,-2.9438, of random ,-6.9334, corr_moves[max:17] ,16.1, mean_rew ,-12.6,00:27:54.49,playing t=6.22, lr=[0.01], batch=106381
Game ,6519100, mean_rew of 4430 finished g. ,-3.056, of random ,-6.9041, corr_moves[max:17] ,16.01, mean_rew ,-14.1,00:28:21.95,playing t=6.26, lr=[0.01], batch=106964
Game ,6627000, mean_rew of 4490 finished g. ,-2.9739, of random ,-6.9017, corr_moves[max:17] ,16.05, mean_rew ,-12.9,00:28:49.64,playing t=6.31, lr=[0.01], batch=107332
Game ,6735300, mean_rew of 4465 finished g. ,-2.8979, of random ,-6.9555, corr_moves[max:17] ,16.03, mean_rew ,-13.3,00:29:17.53,playing t=6.33, lr=[0.01], batch=107600
Game ,6844000, mean_rew of 4374 finished g. ,-3.1198, of random ,-6.8884, corr_moves[max:17] ,15.93, mean_rew ,-15.2,00:29:45.29,playing t=6.33, lr=[0.01], batch=108122
Game ,6953100, mean_rew of 4412 finished g. ,-2.9524, of random ,-6.9284, corr_moves[max:17] ,15.95, mean_rew ,-14.4,00:30:13.46,playing t=6.4, lr=[0.01], batch=108332
Game ,7062600, mean_rew of 4362 finished g. ,-2.8874, of random ,-6.9808, corr_moves[max:17] ,15.87, mean_rew ,-15.3,00:30:41.07,playing t=6.35, lr=[0.01], batch=108889
Game ,7172500, mean_rew of 4388 finished g. ,-2.8159, of random ,-6.9906, corr_moves[max:17] ,15.89, mean_rew ,-14.7,00:31:08.88,playing t=6.38, lr=[0.01], batch=109173
Game ,7282800, mean_rew of 4436 finished g. ,-2.7879, of random ,-6.985, corr_moves[max:17] ,15.94, mean_rew ,-13.8,00:31:36.60,playing t=6.41, lr=[0.01], batch=109764
Game ,7393500, mean_rew of 4460 finished g. ,-2.8054, of random ,-6.9347, corr_moves[max:17] ,16.05, mean_rew ,-13.3,00:32:04.56,playing t=6.42, lr=[0.01], batch=110026
Game ,7504600, mean_rew of 4508 finished g. ,-2.8261, of random ,-6.9638, corr_moves[max:17] ,16.12, mean_rew ,-12.4,00:32:32.86,playing t=6.51, lr=[0.01], batch=110464
Game ,7616100, mean_rew of 4490 finished g. ,-2.5751, of random ,-7.0506, corr_moves[max:17] ,16.11, mean_rew ,-12.5,00:33:01.26,playing t=6.53, lr=[0.01], batch=110847
Game ,7728000, mean_rew of 4486 finished g. ,-2.7236, of random ,-6.9478, corr_moves[max:17] ,16.08, mean_rew ,-12.7,00:33:29.33,playing t=6.52, lr=[0.01], batch=111288
Game ,7840300, mean_rew of 4475 finished g. ,-2.6791, of random ,-7.0343, corr_moves[max:17] ,16.09, mean_rew ,-12.9,00:33:57.99,playing t=6.59, lr=[0.01], batch=111698
Game ,7953000, mean_rew of 4434 finished g. ,-2.7799, of random ,-6.9844, corr_moves[max:17] ,16.04, mean_rew ,-13.8,00:34:26.36,playing t=6.6, lr=[0.01], batch=112127
Game ,8066100, mean_rew of 4464 finished g. ,-2.735, of random ,-7.0134, corr_moves[max:17] ,16.07, mean_rew ,-13.2,00:34:55.03,playing t=6.61, lr=[0.01], batch=112555
Game ,8179600, mean_rew of 4448 finished g. ,-2.839, of random ,-6.9898, corr_moves[max:17] ,16.02, mean_rew ,-13.6,00:35:23.34,playing t=6.57, lr=[0.01], batch=112874
Game ,8293500, mean_rew of 4394 finished g. ,-2.6841, of random ,-7.0624, corr_moves[max:17] ,15.95, mean_rew ,-14.5,00:35:51.66,playing t=6.66, lr=[0.01], batch=113306
Game ,8407800, mean_rew of 4473 finished g. ,-2.7378, of random ,-6.9472, corr_moves[max:17] ,16.02, mean_rew ,-13,00:36:20.21,playing t=6.64, lr=[0.01], batch=113749
