Game ,11040000, mean_rew of 4965 finished g. ,-2.3313, corr_moves[max:10] ,9.967, mean_rew ,-2.67,   1:02:53.986214,playing t=20.0, lr=[0.0004651978960243208]
Game ,11200000, mean_rew of 4970 finished g. ,-2.308, corr_moves[max:10] ,9.972, mean_rew ,-2.59,   1:03:47.464919,playing t=20.01, lr=[0.0003768102957796999]
Game ,11360000, mean_rew of 4952 finished g. ,-2.3215, corr_moves[max:10] ,9.95, mean_rew ,-2.78,   1:04:40.821446,playing t=20.03, lr=[0.00041867810642188874]
Game ,11520000, mean_rew of 4964 finished g. ,-2.3463, corr_moves[max:10] ,9.964, mean_rew ,-2.69,   1:05:34.192336,playing t=19.98, lr=[0.00041867810642188874]
Game ,11680000, mean_rew of 4966 finished g. ,-2.2859, corr_moves[max:10] ,9.967, mean_rew ,-2.61,   1:06:28.049323,playing t=20.07, lr=[0.0003768102957796999]
Game ,11840000, mean_rew of 4955 finished g. ,-2.2674, corr_moves[max:10] ,9.96, mean_rew ,-2.7,   1:07:21.543106,playing t=20.18, lr=[0.0003768102957796999]
Game ,12000000, mean_rew of 4955 finished g. ,-2.3124, corr_moves[max:10] ,9.95, mean_rew ,-2.74,   1:08:15.049333,playing t=20.02, lr=[0.0003052163395815569]
Game ,12160000, mean_rew of 4952 finished g. ,-2.3677, corr_moves[max:10] ,9.956, mean_rew ,-2.83,   1:09:08.431046,playing t=20.16, lr=[0.0003391292662017299]
Game ,12320000, mean_rew of 4959 finished g. ,-2.3638, corr_moves[max:10] ,9.965, mean_rew ,-2.75,   1:10:01.725404,playing t=20.06, lr=[0.0003391292662017299]
Game ,12480000, mean_rew of 4968 finished g. ,-2.3029, corr_moves[max:10] ,9.971, mean_rew ,-2.61,   1:10:55.220261,playing t=20.04, lr=[0.0003052163395815569]
Game ,12640000, mean_rew of 4965 finished g. ,-2.3726, corr_moves[max:10] ,9.963, mean_rew ,-2.71,   1:11:48.721556,playing t=20.12, lr=[0.0003052163395815569]
Game ,12800000, mean_rew of 4974 finished g. ,-2.2778, corr_moves[max:10] ,9.977, mean_rew ,-2.53,   1:12:42.442353,playing t=20.1, lr=[0.0002472252350610611]
Game ,12960000, mean_rew of 4970 finished g. ,-2.3201, corr_moves[max:10] ,9.97, mean_rew ,-2.61,   1:13:36.088095,playing t=20.08, lr=[0.0002746947056234012]
Game ,13120000, mean_rew of 4944 finished g. ,-2.32, corr_moves[max:10] ,9.95, mean_rew ,-2.85,   1:14:29.567037,playing t=20.02, lr=[0.0002746947056234012]
Game ,13280000, mean_rew of 4964 finished g. ,-2.3411, corr_moves[max:10] ,9.965, mean_rew ,-2.68,   1:15:23.020665,playing t=20.04, lr=[0.0002472252350610611]
Game ,13440000, mean_rew of 4960 finished g. ,-2.3222, corr_moves[max:10] ,9.962, mean_rew ,-2.7,   1:16:16.649967,playing t=20.01, lr=[0.0002472252350610611]
Game ,13600000, mean_rew of 4961 finished g. ,-2.3499, corr_moves[max:10] ,9.964, mean_rew ,-2.72,   1:17:10.463461,playing t=20.11, lr=[0.00020025244039945951]
Game ,13760000, mean_rew of 4966 finished g. ,-2.327, corr_moves[max:10] ,9.963, mean_rew ,-2.65,   1:18:04.164637,playing t=19.95, lr=[0.000222502711554955]
Game ,13920000, mean_rew of 4960 finished g. ,-2.3276, corr_moves[max:10] ,9.963, mean_rew ,-2.71,   1:18:57.477040,playing t=19.91, lr=[0.000222502711554955]
Game ,14080000, mean_rew of 4948 finished g. ,-2.3005, corr_moves[max:10] ,9.949, mean_rew ,-2.8,   1:19:50.896304,playing t=20.01, lr=[0.00020025244039945951]
Game ,14240000, mean_rew of 4959 finished g. ,-2.3716, corr_moves[max:10] ,9.964, mean_rew ,-2.76,   1:20:44.161971,playing t=19.91, lr=[0.00020025244039945951]
Game ,14400000, mean_rew of 4962 finished g. ,-2.2793, corr_moves[max:10] ,9.964, mean_rew ,-2.64,   1:21:37.696231,playing t=19.96, lr=[0.0001622044767235622]
Game ,14560000, mean_rew of 4959 finished g. ,-2.3374, corr_moves[max:10] ,9.958, mean_rew ,-2.73,   1:22:31.245054,playing t=20.02, lr=[0.00018022719635951356]
Game ,14720000, mean_rew of 4955 finished g. ,-2.3053, corr_moves[max:10] ,9.961, mean_rew ,-2.73,   1:23:24.541385,playing t=19.98, lr=[0.00018022719635951356]
