Game ,8585000, mean_rew of 3995 finished g. ,-0.6428, of random ,-2.4524, corr_moves[max:10] ,9.083, mean_rew ,-20.6,   0:42:56.987953,playing t=22.14, lr=[0.008], batch=179872
Game ,8765300, mean_rew of 3989 finished g. ,-0.64578, of random ,-2.4514, corr_moves[max:10] ,9.084, mean_rew ,-20.7,   0:43:53.207889,playing t=22.63, lr=[0.008], batch=180273
Game ,8946000, mean_rew of 3993 finished g. ,-0.59955, of random ,-2.4668, corr_moves[max:10] ,9.079, mean_rew ,-20.6,   0:44:47.494626,playing t=22.43, lr=[0.008], batch=180675
Game ,9127100, mean_rew of 4063 finished g. ,-0.5966, of random ,-2.4678, corr_moves[max:10] ,9.149, mean_rew ,-19.2,   0:45:43.421544,playing t=22.91, lr=[0.008], batch=181083
Game ,9308600, mean_rew of 4032 finished g. ,-0.6307, of random ,-2.4564, corr_moves[max:10] ,9.133, mean_rew ,-19.9,   0:46:40.307445,playing t=23.49, lr=[0.008], batch=181476
Game ,9490500, mean_rew of 4037 finished g. ,-0.57964, of random ,-2.4735, corr_moves[max:10] ,9.147, mean_rew ,-19.7,   0:47:37.945468,playing t=23.78, lr=[0.008], batch=181888
Game ,9672800, mean_rew of 4011 finished g. ,-0.62703, of random ,-2.4577, corr_moves[max:10] ,9.096, mean_rew ,-20.3,   0:48:35.857977,playing t=24.91, lr=[0.008], batch=182282
Game ,9855500, mean_rew of 4072 finished g. ,-0.62525, of random ,-2.4583, corr_moves[max:10] ,9.148, mean_rew ,-19.1,   0:49:31.342387,playing t=22.84, lr=[0.008], batch=182676
Game ,10038600, mean_rew of 4058 finished g. ,-0.61336, of random ,-2.4622, corr_moves[max:10] ,9.132, mean_rew ,-19.3,   0:50:26.495163,playing t=23.05, lr=[0.008], batch=183081
Game ,10222100, mean_rew of 4019 finished g. ,-0.63026, of random ,-2.4566, corr_moves[max:10] ,9.121, mean_rew ,-20.1,   0:51:23.189922,playing t=23.49, lr=[0.008], batch=183497
Game ,10406000, mean_rew of 4038 finished g. ,-0.64066, of random ,-2.4531, corr_moves[max:10] ,9.119, mean_rew ,-19.8,   0:52:18.083828,playing t=22.8, lr=[0.008], batch=183886
Game ,10590300, mean_rew of 4045 finished g. ,-0.62497, of random ,-2.4583, corr_moves[max:10] ,9.095, mean_rew ,-19.6,   0:53:13.155698,playing t=22.45, lr=[0.008], batch=184279
Game ,10775000, mean_rew of 4091 finished g. ,-0.59912, of random ,-2.467, corr_moves[max:10] ,9.158, mean_rew ,-18.7,   0:54:08.488654,playing t=23.05, lr=[0.008], batch=184685
Game ,10960100, mean_rew of 4047 finished g. ,-0.63578, of random ,-2.4547, corr_moves[max:10] ,9.158, mean_rew ,-19.6,   0:55:03.538822,playing t=22.87, lr=[0.008], batch=185080
Game ,11145600, mean_rew of 4042 finished g. ,-0.60094, of random ,-2.4664, corr_moves[max:10] ,9.123, mean_rew ,-19.6,   0:55:59.397589,playing t=22.95, lr=[0.008], batch=185489
Game ,11331500, mean_rew of 4094 finished g. ,-0.60845, of random ,-2.4638, corr_moves[max:10] ,9.187, mean_rew ,-18.6,   0:56:55.411281,playing t=22.86, lr=[0.008], batch=185868
Game ,11517800, mean_rew of 4028 finished g. ,-0.59459, of random ,-2.4685, corr_moves[max:10] ,9.113, mean_rew ,-19.9,   0:57:51.328285,playing t=23.34, lr=[0.008], batch=186281
Game ,11704500, mean_rew of 4030 finished g. ,-0.62829, of random ,-2.4572, corr_moves[max:10] ,9.126, mean_rew ,-19.9,   0:58:47.224656,playing t=23.34, lr=[0.008], batch=186669
Game ,11891600, mean_rew of 4093 finished g. ,-0.60176, of random ,-2.4661, corr_moves[max:10] ,9.186, mean_rew ,-18.6,   0:59:42.787813,playing t=22.72, lr=[0.008], batch=187082
Game ,12079100, mean_rew of 4059 finished g. ,-0.59226, of random ,-2.4692, corr_moves[max:10] ,9.157, mean_rew ,-19.3,   1:00:38.671794,playing t=23.19, lr=[0.008], batch=187492
Game ,12267000, mean_rew of 4088 finished g. ,-0.58317, of random ,-2.4723, corr_moves[max:10] ,9.161, mean_rew ,-18.7,   1:01:34.675599,playing t=22.94, lr=[0.008], batch=187875
Game ,12455300, mean_rew of 4094 finished g. ,-0.5298, of random ,-2.4901, corr_moves[max:10] ,9.167, mean_rew ,-18.6,   1:02:31.140532,playing t=23.41, lr=[0.008], batch=188264
Game ,12644000, mean_rew of 4049 finished g. ,-0.5836, of random ,-2.4721, corr_moves[max:10] ,9.153, mean_rew ,-19.5,   1:03:27.753313,playing t=23.13, lr=[0.008], batch=188697
Game ,12833100, mean_rew of 4043 finished g. ,-0.60994, of random ,-2.4634, corr_moves[max:10] ,9.125, mean_rew ,-19.6,   1:04:24.132281,playing t=23.68, lr=[0.008], batch=189080
Game ,13022600, mean_rew of 4054 finished g. ,-0.61322, of random ,-2.4623, corr_moves[max:10] ,9.138, mean_rew ,-19.4,   1:05:20.180289,playing t=23.43, lr=[0.008], batch=189479
Game ,13212500, mean_rew of 4100 finished g. ,-0.59634, of random ,-2.4679, corr_moves[max:10] ,9.191, mean_rew ,-18.5,   1:06:16.734628,playing t=23.16, lr=[0.008], batch=189890
Game ,13402800, mean_rew of 4130 finished g. ,-0.58499, of random ,-2.4717, corr_moves[max:10] ,9.218, mean_rew ,-17.9,   1:07:13.739419,playing t=23.89, lr=[0.008], batch=190290
Game ,13593500, mean_rew of 4095 finished g. ,-0.58584, of random ,-2.4714, corr_moves[max:10] ,9.185, mean_rew ,-18.6,   1:08:10.002457,playing t=23.23, lr=[0.008], batch=190685
Game ,13784600, mean_rew of 4108 finished g. ,-0.60808, of random ,-2.464, corr_moves[max:10] ,9.195, mean_rew ,-18.3,   1:09:06.988528,playing t=23.62, lr=[0.008], batch=191085
Game ,13976100, mean_rew of 4095 finished g. ,-0.59121, of random ,-2.4696, corr_moves[max:10] ,9.222, mean_rew ,-18.6,   1:10:04.021100,playing t=23.77, lr=[0.008], batch=191481
Game ,14168000, mean_rew of 4114 finished g. ,-0.55882, of random ,-2.4804, corr_moves[max:10] ,9.206, mean_rew ,-18.2,   1:11:00.806842,playing t=23.71, lr=[0.008], batch=191869
Game ,14360300, mean_rew of 4146 finished g. ,-0.58442, of random ,-2.4719, corr_moves[max:10] ,9.214, mean_rew ,-17.6,   1:11:57.632438,playing t=23.41, lr=[0.008], batch=192275
Game ,14553000, mean_rew of 4108 finished g. ,-0.57595, of random ,-2.4747, corr_moves[max:10] ,9.206, mean_rew ,-18.3,   1:12:54.973085,playing t=23.85, lr=[0.008], batch=192688
Game ,14746100, mean_rew of 4097 finished g. ,-0.60947, of random ,-2.4635, corr_moves[max:10] ,9.194, mean_rew ,-18.6,   1:13:52.301622,playing t=23.49, lr=[0.008], batch=193077
Game ,14939600, mean_rew of 4133 finished g. ,-0.57803, of random ,-2.474, corr_moves[max:10] ,9.207, mean_rew ,-17.8,   1:14:49.928870,playing t=23.87, lr=[0.008], batch=193488
Game ,15133500, mean_rew of 4073 finished g. ,-0.5782, of random ,-2.4739, corr_moves[max:10] ,9.168, mean_rew ,-19.0,   1:15:47.231000,playing t=24.1, lr=[0.008], batch=193877
Game ,15327800, mean_rew of 4117 finished g. ,-0.564, of random ,-2.4787, corr_moves[max:10] , 9.2, mean_rew ,-18.1,   1:16:45.985240,playing t=24.18, lr=[0.008], batch=194287
Game ,15522500, mean_rew of 4107 finished g. ,-0.53932, of random ,-2.4869, corr_moves[max:10] ,9.199, mean_rew ,-18.3,   1:17:43.894103,playing t=24.22, lr=[0.008], batch=194672
Game ,15717600, mean_rew of 4102 finished g. ,-0.5746, of random ,-2.4751, corr_moves[max:10] ,9.216, mean_rew ,-18.4,   1:18:42.087230,playing t=24.21, lr=[0.008], batch=195083
Game ,15913100, mean_rew of 4117 finished g. ,-0.60457, of random ,-2.4651, corr_moves[max:10] ,9.218, mean_rew ,-18.2,   1:19:40.279107,playing t=24.16, lr=[0.008], batch=195478
Game ,16109000, mean_rew of 4082 finished g. ,-0.59456, of random ,-2.4685, corr_moves[max:10] ,9.173, mean_rew ,-18.8,   1:20:38.335282,playing t=24.48, lr=[0.008], batch=195896
Game ,16305300, mean_rew of 4135 finished g. ,-0.5734, of random ,-2.4755, corr_moves[max:10] ,9.224, mean_rew ,-17.8,   1:21:36.491306,playing t=24.36, lr=[0.008], batch=196295
Game ,16502000, mean_rew of 4108 finished g. ,-0.56037, of random ,-2.4799, corr_moves[max:10] ,9.202, mean_rew ,-18.3,   1:22:35.606615,playing t=24.76, lr=[0.008], batch=196688
Game ,16699100, mean_rew of 4121 finished g. ,-0.56661, of random ,-2.4778, corr_moves[max:10] ,9.22, mean_rew ,-18.0,   1:23:33.509012,playing t=24.32, lr=[0.008], batch=197078
Game ,16896600, mean_rew of 4106 finished g. ,-0.59011, of random ,-2.47, corr_moves[max:10] ,9.199, mean_rew ,-18.4,   1:24:31.948827,playing t=24.08, lr=[0.008], batch=197477
Game ,17094500, mean_rew of 4158 finished g. ,-0.57672, of random ,-2.4744, corr_moves[max:10] ,9.225, mean_rew ,-17.3,   1:25:30.892780,playing t=24.41, lr=[0.008], batch=197870
Game ,17292800, mean_rew of 4173 finished g. ,-0.51522, of random ,-2.4949, corr_moves[max:10] ,9.283, mean_rew ,-17.0,   1:26:29.655794,playing t=24.56, lr=[0.008], batch=198295
Game ,17491500, mean_rew of 4095 finished g. ,-0.53553, of random ,-2.4882, corr_moves[max:10] ,9.182, mean_rew ,-18.5,   1:27:28.480208,playing t=24.51, lr=[0.008], batch=198677
Game ,17690600, mean_rew of 4124 finished g. ,-0.54025, of random ,-2.4866, corr_moves[max:10] ,9.195, mean_rew ,-18.0,   1:28:27.517748,playing t=24.64, lr=[0.008], batch=199071
Game ,17890100, mean_rew of 4188 finished g. ,-0.51051, of random ,-2.4965, corr_moves[max:10] ,9.259, mean_rew ,-16.7,   1:29:26.767936,playing t=24.55, lr=[0.008], batch=199481
Game ,18090000, mean_rew of 4139 finished g. ,-0.55279, of random ,-2.4824, corr_moves[max:10] ,9.223, mean_rew ,-17.7,   1:30:25.822160,playing t=24.23, lr=[0.008], batch=199874
Game ,18290300, mean_rew of 4168 finished g. ,-0.53719, of random ,-2.4876, corr_moves[max:10] ,9.238, mean_rew ,-17.1,   1:31:25.235459,playing t=24.73, lr=[0.008], batch=200299
Game ,18491000, mean_rew of 4165 finished g. ,-0.53733, of random ,-2.4876, corr_moves[max:10] ,9.253, mean_rew ,-17.1,   1:32:25.318409,playing t=25.07, lr=[0.008], batch=200692
Game ,18692100, mean_rew of 4211 finished g. ,-0.545, of random ,-2.485, corr_moves[max:10] ,9.294, mean_rew ,-16.2,   1:33:25.084693,playing t=24.87, lr=[0.008], batch=201087
Game ,18893600, mean_rew of 4172 finished g. ,-0.50168, of random ,-2.4994, corr_moves[max:10] ,9.239, mean_rew ,-17.0,   1:34:24.637256,playing t=24.93, lr=[0.008], batch=201494
Game ,19095500, mean_rew of 4159 finished g. ,-0.53258, of random ,-2.4891, corr_moves[max:10] ,9.237, mean_rew ,-17.3,   1:35:24.873500,playing t=25.07, lr=[0.008], batch=201888
Game ,19297800, mean_rew of 4155 finished g. ,-0.51625, of random ,-2.4946, corr_moves[max:10] ,9.226, mean_rew ,-17.3,   1:36:25.069411,playing t=25.08, lr=[0.008], batch=202284
Game ,19500500, mean_rew of 4132 finished g. ,-0.49661, of random ,-2.5011, corr_moves[max:10] ,9.216, mean_rew ,-17.8,   1:37:25.251434,playing t=25.0, lr=[0.008], batch=202683
Game ,19703600, mean_rew of 4135 finished g. ,-0.52648, of random ,-2.4912, corr_moves[max:10] ,9.202, mean_rew ,-17.7,   1:38:25.520024,playing t=25.13, lr=[0.008], batch=203082
Game ,19907100, mean_rew of 4157 finished g. ,-0.50445, of random ,-2.4985, corr_moves[max:10] ,9.246, mean_rew ,-17.3,   1:39:25.966447,playing t=25.13, lr=[0.008], batch=203490
